#R(kpc),Vcir(km/sec)
0.0,0.0
0.09459,26.16822
0.16216,41.1215
0.3558,82.2624
0.38468,87.50551
0.41356,92.87346
0.44244,98.28301
0.47854,104.62191
0.51464,111.03709
0.55074,117.21647
0.59407,123.04215
0.63739,128.82622
0.68071,134.64001
0.72403,140.43596
0.77457,146.30325
0.83233,151.87448
0.92434,157.76319
1.00377,163.50981
1.09134,169.11703
1.22759,175.03895
1.44142,181.37693
1.66081,185.10346
1.96406,190.26516
2.26009,195.00092
2.5489,200.44647
2.84493,204.25092
3.14818,207.46099
3.45143,210.74834
3.75468,214.91548
3.97851,219.52495
4.17568,224.06542
4.41894,228.35254
4.65947,231.5047
5.02544,234.17276
5.35918,235.78553
5.64754,237.45772
5.94963,238.44409
6.25288,239.49033
6.55613,240.09074
6.85938,240.54847
7.16263,240.34992
7.46588,240.19774
7.76913,239.93618
8.07238,239.34766
8.37563,238.23009
8.67888,237.04757
8.98213,235.56278
9.19513,234.62386
9.63327,232.66982
9.863,231.66169
9.89105,231.49119
15.2477,215.8747
20.2052,212.48535
25.011,210.19041
